code	lut_i32	sample14
1117	534	134
1118	535	134
1119	535	134
1120	536	134
1121	536	134
1122	537	134
1123	537	134
1124	538	135
1125	538	135
1126	539	135
1127	539	135
1128	539	135
1129	540	135
1130	540	135
1131	541	135
1132	541	135
1133	542	136
1134	542	136
1135	543	136
1136	543	136
1137	544	136
1138	544	136
1139	545	136
1140	545	136
1141	545	136
1142	546	137
1143	546	137
1144	547	137
1145	547	137
1146	548	137
1147	548	137
1148	549	137
1149	549	137
1150	550	138
1151	550	138
1152	551	138
1153	551	138
1154	551	138
1155	552	138
1156	552	138
1157	553	138
1158	553	138
1159	554	139
1160	554	139
1161	555	139
1162	555	139
1163	556	139
1164	556	139
1165	557	139
1166	557	139
1167	557	139
1168	558	140
1169	558	140
1170	559	140
1171	559	140
1172	560	140
1173	560	140
1174	561	140
1175	561	140
1176	562	141
1177	562	141
1178	563	141
1179	563	141
1180	564	141
1181	564	141
1182	564	141
1183	565	141
1184	565	141
1185	566	142
1186	566	142
1187	567	142
1188	567	142
1189	568	142
1190	568	142
1191	569	142
1192	569	142
1193	570	143
1194	570	143
1195	570	143
1196	571	143
1197	571	143
1198	572	143
1199	572	143
1200	573	143
1201	573	143
1202	574	144
1203	574	144
1204	575	144
1205	575	144
1206	576	144
1207	576	144
1208	576	144
1209	577	144
1210	577	144
1211	578	145
1212	578	145
1213	579	145
1214	579	145
1215	580	145
1216	580	145
1217	581	145
1218	581	145
1219	582	146
1220	582	146
1221	582	146
1222	583	146
1223	583	146
1224	584	146
1225	584	146
1226	585	146
1227	585	146
1228	586	147
1229	586	147
1230	587	147
1231	587	147
1232	588	147
1233	588	147
1234	588	147
1235	589	147
1236	589	147
1237	590	148
1238	590	148
1239	591	148
1240	591	148
1241	592	148
1242	592	148
1243	593	148
1244	593	148
1245	594	149
1246	594	149
1247	595	149
1248	595	149
1249	595	149
1250	596	149
1251	596	149
1252	597	149
1253	597	149
1254	598	150
1255	598	150
1256	599	150
1257	599	150
1258	600	150
1259	600	150
1260	601	150
1261	601	150
1262	601	150
1263	602	151
1264	602	151
1265	603	151
1266	603	151
1267	604	151
1268	604	151
1269	605	151
1270	605	151
1271	606	152
1272	606	152
1273	607	152
1274	607	152
1275	607	152
1276	608	152
1277	608	152
1278	609	152
1279	609	152
1280	610	153
1281	610	153
1282	611	153
1283	611	153
1284	612	153
1285	612	153
1286	613	153
1287	613	153
1288	613	153
1289	614	154
1290	614	154
1291	615	154
1292	615	154
1293	616	154
1294	616	154
1295	617	154
1296	617	154
